"categoria","centroide_lat","centroide_lon","departamento_id","departamento_nombre","fuente","id","localidad_censal_id","localidad_censal_nombre","municipio_id","municipio_nombre","nombre","provincia_id","provincia_nombre"
"Sitio edificado",-37.8886700002249,-60.0520300034722,"06014","Adolfo Gonzales Chaves","GPS-EDUCACION","06014000006","","","060014","Adolfo Gonzales Chaves","LA EMMA","06","Buenos Aires"
"Sitio edificado",-37.9869681,-59.9183059,"06014","Adolfo Gonzales Chaves","GPS-EDUCACION","06014000007","","","060014","Adolfo Gonzales Chaves","LA HISPANO ARGENTINA","06","Buenos Aires"
"Sitio edificado",-38.0075302124505,-60.5638847358317,"06014","Adolfo Gonzales Chaves","APROXIMADA-EDUCACION","06014000008","","","060014","Adolfo Gonzales Chaves","LA SORTIJA","06","Buenos Aires"
"Sitio edificado",-37.853063,-60.6723351,"06014","Adolfo Gonzales Chaves","GPS-EDUCACION","06014000010","","","060014","Adolfo Gonzales Chaves","LOS FACHINALES","06","Buenos Aires"
"Sitio edificado",-37.7294888,-60.5480826,"06014","Adolfo Gonzales Chaves","GPS-EDUCACION","06014000012","","","060014","Adolfo Gonzales Chaves","MAULEON","06","Buenos Aires"
"Sitio edificado",-38.0670300003025,-59.8737400047936,"06014","Adolfo Gonzales Chaves","GPS-EDUCACION","06014000013","","","060014","Adolfo Gonzales Chaves","SAN FRANCISCO","06","Buenos Aires"
"Sitio edificado",-38.006638,-59.7303478,"06014","Adolfo Gonzales Chaves","GPS-EDUCACION","06014000014","","","060014","Adolfo Gonzales Chaves","SANTA CLARA","06","Buenos Aires"
"Sitio edificado",-37.889047,-60.3147188,"06014","Adolfo Gonzales Chaves","GPS-EDUCACION","06014000015","","","060014","Adolfo Gonzales Chaves","SANTA MARIA","06","Buenos Aires"
"Localidad simple",-38.0333995087596,-60.1003341740637,"06014","Adolfo Gonzales Chaves","INDEC","06014010000","06014010","Adolfo Gonzales Chaves","060014","Adolfo Gonzales Chaves","ADOLFO GONZALES CHAVES","06","Buenos Aires"
"Localidad simple",-37.9635021758562,-60.415659383962,"06014","Adolfo Gonzales Chaves","INDEC","06014020000","06014020","De La Garma","060014","Adolfo Gonzales Chaves","DE LA GARMA","06","Buenos Aires"
"Localidad simple",-37.8233871716044,-60.484639770555,"06014","Adolfo Gonzales Chaves","INDEC","06014030000","06014030","Juan E. Barra","060014","Adolfo Gonzales Chaves","JUAN E. BARRA","06","Buenos Aires"
"Localidad simple",-38.1766861391835,-60.1708487303777,"06014","Adolfo Gonzales Chaves","INDEC","06014040000","06014040","Vásquez","060014","Adolfo Gonzales Chaves","VASQUEZ","06","Buenos Aires"
"Sitio edificado",-35.2372932434082,-60.3030319213867,"06021","Alberti","IGN","06021000001","","","060021","Alberti","BAUDRIX","06","Buenos Aires"
"Sitio edificado",-34.9800093,-60.2888076,"06021","Alberti","GPS-EDUCACION","06021000003","","","060021","Alberti","CUARTEL V","06","Buenos Aires"
"Sitio edificado",-35.0984101,-60.2046394,"06021","Alberti","GPS-EDUCACION","06021000004","","","060021","Alberti","CUARTEL VI","06","Buenos Aires"
"Sitio edificado",-35.094841003462,-60.377243042447,"06021","Alberti","APROXIMADA-EDUCACION","06021000006","","","060021","Alberti","EL RECUERDO","06","Buenos Aires"
"Sitio edificado",-35.0540019583854,-60.368235997207,"06021","Alberti","GPS-EDUCACION","06021000010","","","060021","Alberti","LARREA","06","Buenos Aires"
"Sitio edificado",-35.2223288,-60.1892658,"06021","Alberti","GPS-EDUCACION","06021000011","","","060021","Alberti","PRESIDENTE QUINTANA","06","Buenos Aires"
