"nombre","direccion","ciudad","provincia","ci"
" ASOCIACION DE LOS TESTIGOS DE JEHOVA ","B° Virgen del Valle - Casa 16","Londres","Catamarca","1611"
" ASOCIACION DE LOS TESTIGOS DE JEHOVA ","Intendente Pedro Bioy N° 171","Tapalque","Buenos Aires","1611"
" ASOCIACION DE LOS TESTIGOS DE JEHOVA ","Alberdi s/n° - B° 60 Viviendas","Ingeniero Juarez","Formosa","1611"
" ASOCIACION DE LOS TESTIGOS DE JEHOVA ","Mz. 21 - Parc. 10 - B° 30 Viviendas","Presidencia de la Plaza","Chaco","1611"
" ASOCIACION DE LOS TESTIGOS DE JEHOVA ","Ruta 9 S/N° - Dpto. Silipica - B° 20 Viviendas","Arraga","Santiago del Estero","1611"
" ASOCIACION DE LOS TESTIGOS DE JEHOVA ","Dorrego y San Martin","Calchaqui","Santa Fe","1611"
" ASOCIACION DE LOS TESTIGOS DE JEHOVA ","Atahualpa Yupanqui N° 167","Centenario","Neuquén","1611"
" ASOCIACION DE LOS TESTIGOS DE JEHOVA ","Av. Velez Sarsfield y Paso de los Andes","Bialet Masse","Córdoba","1611"
" MINISTERIO APOSTÓLICO PROFÉTICO CRISTIANO ALFA Y OMEGA  - FILIAL 2","CALLE 11 S/N° BARRIO MONTEGRANDE","RIO TERCERO ","Córdoba","241"
" MINISTERIO APOSTÓLICO PROFÉTICO CRISTIANO ALFA Y OMEGA  - FILIAL 7","27 DE ABRIL 4795 BARRIO LAS PALMAS","CORDOBA","Córdoba","241"
" MINISTERIO APOSTÓLICO PROFÉTICO CRISTIANO ALFA Y OMEGA  - FILIAL 8","ROCA 1046","CAMPANA","Buenos Aires","241"
" MINISTERIO APOSTÓLICO PROFÉTICO CRISTIANO ALFA Y OMEGA  - FILIAL 9","ALVEAR ESQUINA 9 DE JULIO","ALBERDI","Tucuman","241"
" MINISTERIO APOSTÓLICO PROFÉTICO CRISTIANO ALFA Y OMEGA - FILIAL 11","BARTOLOME MITRE 1125 BARRIO MEDALLA MILAGROSA","OLIVA","Córdoba","241"
" MINISTERIO APOSTÓLICO PROFÉTICO CRISTIANO ALFA Y OMEGA - FILIAL 12","GENERAL LOPEZ 4111 BARRIO SAN LORENZO","SANTA FE","Santa Fe","241"
" MINISTERIO APOSTÓLICO PROFÉTICO CRISTIANO ALFA Y OMEGA - FILIAL 13","SAN LORENZO 34 BARRIO COLON","AGUILARES","Tucuman","241"
" MINISTERIO APOSTÓLICO PROFÉTICO CRISTIANO ALFA Y OMEGA - FILIAL 14","M. YADAROLA 356 BARRIO PEDRO OÑATE","JESUS MARIA ","Córdoba","241"
" MINISTERIO APOSTÓLICO PROFÉTICO CRISTIANO ALFA Y OMEGA - FILIAL 3","CALLE 124 N° 125 4° A BARRIO LOS PINOS","BERAZATEGUI","Buenos Aires","241"
" MINISTERIO APOSTÓLICO PROFÉTICO CRISTIANO ALFA Y OMEGA - FILIAL 4","9 DE JULIO 639 BARRIO BELGRANO - ALMAFUERTE","RIO TERCERO ","Córdoba","241"
" MINISTERIO APOSTÓLICO PROFÉTICO CRISTIANO ALFA Y OMEGA - FILIAL 5","SOLARES 100 BARRIO VILLA INES","CORDOBA","Córdoba","241"
" MINISTERIO APOSTÓLICO PROFÉTICO CRISTIANO ALFA Y OMEGA - FILIAL 6","TERREGO 2832 BARRIO LOS CERVECEROS","CORDOBA","Córdoba","241"
"ACADEMIA ARGENTINA ZEN BUDISTA SHING JING","VUELTA DE OBLIGADO 3020","CAPITAL FEDERAL","Ciudad Autónoma de Buenos Aires","4202"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG","GRAL. E. MARTINEZ 889 ","CAPITAL FEDERAL","Ciudad Autónoma de Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 1","SAN JUAN 53","ALFREDO FORTABAT","Buenos Aires","403"
