,ciudad
0,ACONQUIJA
1,ANDALGALA
2,BELEN
3,CAMINO A LA AGUADA
4,CATAMARCA
5,CHUMBICHA
6,CATAMARCA 
7,DISTRITO ACONQUIJA-DEPARTAMENTO ANDALGALA
8,DPTO. BELEN
9,ESQUIU
10,EL MISTOL
11,EL MISTOL 
12,FIAMBALA
13,HUACHASCHI
14,HUACHASCHI - ANDALGALÁ
15,HUACO
16,HUACO ANDALGALA
17,HUILLAPIMA
18,ICAÑO
19,LA CARRERA 
20,LA PAZ
21,LA PUNTILLA
22,LONDRES
23,MUTQUIN 
24,NORTE ANDALGALA
25,OLAVARRIA
26,POMAN
27,RECREO
28,RECREO SUR 
29,S. F. DEL VALLE DE CATAMARCA
30,SAN ANTONIO DE LA PAZ
31,SAN FDO. DEL V.CATAMARCA
32,SAN JOSÉ BANDA
33,SANTA MARIA
34,SUD ANDALGALA
35,SANTA MARÍA 
36,TINOGASTA
37,TINOGASTA 
38,VALLE VIEJO
