,nombre,direccion,ciudad,provincia,ci
0,IGLESIA CRISTIANA EVANGELICA EN LIBERTAD 65 - ANDALGALA - CATAMARCA - FILIAL 1,PADRON 1063 LA ALUMBRERA,ACONQUIJA,Catamarca,1161.0
1,ASOCIACION DE LOS TESTIGOS DE JEHOVA - FILIAL 25,MERCADO 195,ANDALGALA,Catamarca,1611.0
2,CONVENCION EVANGELICA BAUTISTA ARGENTINA - FILIAL 1010,TUCUMAN S/N° SECC. XX LOTE 30 DPTO HUACHASCHI,ANDALGALA,Catamarca,672.0
3,IGLESIA CRISTIANA EVANGELICA &quot;EMAUS&quot;,LAFONE QUEVEDO 287 ,ANDALGALA,Catamarca,2412.0
4,IGLESIA CRISTIANA EVANGELICA EN ANDALGALA,MALLI 2º ,ANDALGALA,Catamarca,233.0
5,IGLESIA CRISTIANA EVANGELICA EN ANDALGALA - FILIAL 1,RIVADAVIA Y LIBERTAD,ANDALGALA,Catamarca,233.0
6,IGLESIA CRISTIANA EVANGELICA EN LIBERTAD 65 - ANDALGALA - CATAMARCA,LIBERTAD 65 ,ANDALGALA,Catamarca,1161.0
7,IGLESIA CRISTIANA EVANGELICA EN LIBERTAD 65 - ANDALGALA - CATAMARCA - FILIAL 2,PADRON 13052 AMANAO,ANDALGALA,Catamarca,1161.0
8,IGLESIA DE JESUCRISTO EL DIOS VIVIENTE,SAN MARTIN 172 BARRIO FLORIDA,ANDALGALA,Catamarca,2997.0
9,IGLESIA EVANGELICA PENTECOSTAL UNIDAD - FILIAL 2,PADRON 2909 RUTA 65 EL ALAMITO,ANDALGALA,Catamarca,1696.0
10,ASOCIACION DE LOS TESTIGOS DE JEHOVA - FILIAL 1126,RIVADAVIA 542,BELEN,Catamarca,1611.0
11,CONVENCION EVANGELICA BAUTISTA ARGENTINA - FILIAL 117,SAN MARTIN S/N,BELEN,Catamarca,672.0
12,IGLESIA CRISTIANA EVANGELICA EN LIBERTAD 65 - ANDALGALA - CATAMARCA - FILIAL 3,PADRON 434,CAMINO A LA AGUADA,Catamarca,1161.0
13,ASAMBLEA CRISTIANA - FILIAL 62,CRISTOBAL GAVICA 648 B° VILLA BOSCH,CATAMARCA,Catamarca,10.0
14,ASOCIACION DE LOS TESTIGOS DE JEHOVA - FILIAL 1238,BELGICA 2793,CATAMARCA,Catamarca,1611.0
15,ASOCIACION DE LOS TESTIGOS DE JEHOVA - FILIAL 138,MANUEL PONFERRADA 241,CATAMARCA,Catamarca,1611.0
16,ASOCIACION EVANGELICA ASAMBLEA DE DIOS - FILIAL 31,VICENTE SALAS MARTINEZ 263,CATAMARCA,Catamarca,871.0
17,CENTRO ESPIRITUAL DE UMBANDA REINO IEMANJA BOMI - FILIAL 3,AV.OCAMPO 458,CATAMARCA,Catamarca,1581.0
18,CONVENCION EVANGELICA BAUTISTA ARGENTINA - FILIAL 118,CASEROS 214,CATAMARCA,Catamarca,672.0
19,CONVENCION EVANGELICA BAUTISTA ARGENTINA - FILIAL 348,GRAL. VILLEGAS S/Nº,CATAMARCA,Catamarca,672.0
20,CONVENCION EVANGELICA BAUTISTA ARGENTINA - FILIAL 349,GOB. G. CORREA 546,CATAMARCA,Catamarca,672.0
21,CONVENCION EVANGELICA BAUTISTA ARGENTINA - FILIAL 951,JUAN DE SOSA Y MEDRANO 455 B° LA VICTORIA,CATAMARCA,Catamarca,672.0
22,DELEGACION ARGENTINA DEL NOROESTE DE LA IGLESIA ADVENTISTA DEL 7ºDIA - FILIAL 2,MATE DE LUNA 330,CATAMARCA,Catamarca,2630.0
23,DELEGACION ARGENTINA DEL NOROESTE DE LA IGLESIA ADVENTISTA DEL 7ºDIA - FILIAL 54,GENERAL NAVARRO 2142,CATAMARCA,Catamarca,2630.0
24,DELEGACION ARGENTINA DEL NORTE DE LA IGLESIA ADVENTISTA DEL 7º DIA - FILIAL 28,MATE DE LUNA 330,CATAMARCA,Catamarca,7.0
25,IGLESIA BIBLIA ABIERTA MISION SUDAMERICANA - FILIAL 98,AV. PRESIDENTE CASTILLO 390,CATAMARCA,Catamarca,176.0
26,IGLESIA CRISTIANA EVANGELICA DE CATAMARCA,JUNIN 1180 ,CATAMARCA,Catamarca,75.0
27,IGLESIA CRISTIANA EVANGELICA DE CATAMARCA - FILIAL 1,CASEROS 1688,CATAMARCA,Catamarca,75.0
28,IGLESIA CRISTIANA EVANGELICA DE CATAMARCA - FILIAL 2,ZURITA 1398,CATAMARCA,Catamarca,75.0
29,IGLESIA CRISTIANA EVANGELICA DE CATAMARCA - FILIAL 3,JUNAN PABLO VERA 531 BARRIO GENERAL PAZ,CATAMARCA,Catamarca,75.0
30,IGLESIA CRISTIANA EVANGELICA EN CALLE PONTEVEDRA Y CASEROS NORTE,MANUEL PONFERRADA Y CASEROS NORTE S/N°,CATAMARCA,Catamarca,767.0
31,IGLESIA CRISTIANA EVANGELICA EN CALLE PONTEVEDRA Y CASEROS NORTE - FILIAL 1,MANUEL PONFERRADA 65,CATAMARCA,Catamarca,767.0
32,IGLESIA CRISTIANA PENTECOSTAL DE ARGENTINA - FILIAL 84,PEDRO GOYENA 1627,CATAMARCA,Catamarca,345.0
33,IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ULTIMOS DIAS - FILIAL 80,AVDA MEXICO Y CISNEROS,CATAMARCA,Catamarca,607.0
34,IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ULTIMOS DIAS - FILIAL 81,ZURITA 455,CATAMARCA,Catamarca,607.0
