,ciudad
0, LA RIOJA
1,AIMOGASTA
2,ANILLACO
3,ARAUCO
4,B° CONCHANGASTA (ESTE) - LA RIOJA
5,Bº LA HERMITA
6,CASTRO BARROS
7,CATUNA 
8,CATUNA (VILLA SANTA RITA DE)
9,CHAMICAL
10,CHAMICAL ATENCIO
11,CHEPES
12,CHEPES 
13,CHILECITO
14,CHILECITO 
15,EL CHAMICAL
16,EL CHAMICAL 
17,EL MILAGRO
18,FAMATINA
19,GENERAL BELGRANO
20,GENERAL BELGRANO 
21,LA AGUADA
22,LA ERMITA 
23,LA RIOJA
24,LA RIOJA 
25,LDAD. LA RIOJA
26,LOMA BLANCA 
27,MILAGRO
28,NONOGASTA
29,NONOGASTA 
30,OLPAS
31,OLTA
32,PATQUIA
33,SAN BLAS 
34,SAN BLAS DE LOS SAUCES
35,SAN NICOLAS
36,SANAGASTA
37,ULAPES
38,VICHIGASTA
39,VICHIGASTA 
40,VILLA UNION
41,VINCHINA 
