,nombre,direccion,ciudad,provincia,ci
0,IGLESIA NUEVA APOSTOLICA (SUD AMERICA) - FILIAL 190,B JARAMILLO 132, LA RIOJA,La Rioja,4.0
1,ASOCIACION DE LOS TESTIGOS DE JEHOVA - FILIAL 7,AV. SANTA ROSA 319,AIMOGASTA,La Rioja,1611.0
2,CONVENCION EVANGELICA BAUTISTA ARGENTINA - FILIAL 304,LA RIOJA 384,AIMOGASTA,La Rioja,672.0
3,DELEGACION ARGENTINA CENTRAL DE LA IGLESIA ADVENTISTA DEL 7º DIA - FILIAL 165,SARMIENTO Y PASAJE PARAGUAY,AIMOGASTA,La Rioja,5.0
4,DELEGACION ARGENTINA CENTRAL DE LA IGLESIA ADVENTISTA DEL 7º DIA - FILIAL 198,CASA 119 B° INMACULADA II,AIMOGASTA,La Rioja,5.0
5,FEDERACION ASAMBLEA CRISTIANA - FILIAL 264,20 de Mayo y Calle 8 - Secc. 2 - Mz. 66 - Parc. 6,AIMOGASTA,La Rioja,64.0
6,IGLESIA APOSTÓLICA CRISTIANA - FILIAL 3,ALTE. BROWN S/N° B° LA ESTACION,AIMOGASTA,La Rioja,4067.0
7,UNION DE LAS ASAMBLEAS DE DIOS - FILIAL 1017,ROQUE SAENZ PEÑA S/N° BARRIO SAN ANTONIO,AIMOGASTA,La Rioja,14.0
8,IGLESIA APOSTÓLICA CRISTIANA - FILIAL 2,SALTA S/N° - DEPTO. CASTRO BARROS,ANILLACO,La Rioja,4067.0
9,ASOCIACION EVANGELICA PENTECOSTAL DE LA RIOJA - FILIAL 1,R S PEÑA S/N MZ 11 SEC D,ARAUCO,La Rioja,1278.0
10,Ministerio Jesucristo Viene Pronto,Quito s/n Circ. 1 Sección C Manzana 329 Parcela 8,B° Conchangasta (este) - La Rioja,La Rioja,4522.0
11,CENTRO ESPIRITISTA ROSARITO LUNA,AV.SAN NICOLáS DE BARI S/N ,Bº LA HERMITA,La Rioja,823.0
12,ASOCIACION EVANGELICA PENTECOSTAL DE LA RIOJA - FILIAL 2,MZ 19 SEC A PARC 9,CASTRO BARROS,La Rioja,1278.0
13,UNION DE LAS ASAMBLEAS DE DIOS - FILIAL 1305,BELGRANO Y SAN MARTIN S/N°,CATUNA ,La Rioja,14.0
14,FEDERACION ASAMBLEA CRISTIANA - FILIAL 265,Pasaje s/nº - Lote 2 - Plano 6 -P-E,CATUNA (VILLA SANTA RITA DE),La Rioja,64.0
15,ASOCIACION EVANGELICA PENTECOSTAL DE LA RIOJA - FILIAL 10,C CARBEL 151 MZ 032 SEC 1 PARC 002,CHAMICAL,La Rioja,1278.0
16,IGLESIA CRISTIANA EVANGELICA EN CALLE RIVADAVIA - FILIAL 1,Bº ESTACION FFCC,CHAMICAL,La Rioja,352.0
17,IGLESIA CRISTIANA EVANGELICA JESUS ES VIDA,VICENTE ALMONACID 284,CHAMICAL,La Rioja,3907.0
18,ASOCIACION DE LOS TESTIGOS DE JEHOVA - FILIAL 147,BELGRANO 360 (PADRE DE DIOS MU,CHAMICAL ATENCIO,La Rioja,1611.0
19,FEDERACION ASAMBLEA CRISTIANA - FILIAL 266,J. V. González s/Nº - Lotes 9 y 10 - Mza.17,CHEPES,La Rioja,64.0
20,IGLESIA CRISTIANA EVANGELICA EN CALLE RIVADAVIA - FILIAL 2,PELAGIO B.LUNA 661,CHEPES,La Rioja,352.0
21,MOVIMIENTO CRISTIANO Y MISIONERO - FILIAL 156,"Avenida Belgrano, casa 13, Barrio Santa Rita",CHEPES,La Rioja,557.0
22,MOVIMIENTO CRISTIANO Y MISIONERO - FILIAL 223,20 DE JUNIO 130,CHEPES,La Rioja,557.0
23,UNION DE LAS ASAMBLEAS DE DIOS - FILIAL 627,ORTIZ DE OCAMPO S/N°,CHEPES ,La Rioja,14.0
24,ASOCIACION DE LOS TESTIGOS DE JEHOVA - FILIAL 151,SAN ROMAN 424,CHILECITO,La Rioja,1611.0
25,ASOCIACION EVANGELICA PENTECOSTAL DE LA RIOJA - FILIAL 4,AV ARTURO ILLIA Nº 48 MZ 71 SEC A PARC W,CHILECITO,La Rioja,1278.0
26,ASOCIACION EVANGELICA PENTECOSTAL DE LA RIOJA - FILIAL 5,CASA 27 Bº 53 VIVIENDAS ANGUINAN,CHILECITO,La Rioja,1278.0
27,ASOCIACION EVANGELICA PENTECOSTAL DE LA RIOJA - FILIAL 6,RUTA NAC 40 Bº ALTO VERDE NONOGASTA,CHILECITO,La Rioja,1278.0
28,COMUNIDAD CRISTIANA DE LA CIUDAD DE SANTIAGO DEL ESTERO - FILIAL 7,H YRIGOYEN Y BONIFACIO DARLA 939,CHILECITO,La Rioja,1086.0
29,CONVENCION EVANGELICA BAUTISTA ARGENTINA - FILIAL 176,SAN FRANCISCO ESQ. LA PLATA,CHILECITO,La Rioja,672.0
30,DELEGACION ARGENTINA CENTRAL DE LA IGLESIA ADVENTISTA DEL 7º DIA - FILIAL 104,ZELADA Y DAVILA 261,CHILECITO,La Rioja,5.0
31,IGLESIA CRISTIANA EVANGELICA EN CHILECITO,DOMINGO CASTRO BAZAN 292 ,CHILECITO,La Rioja,1058.0
32,IGLESIA CRISTIANA EVANGELICA EN CHILECITO - FILIAL 1,25 DE MAYO 570,CHILECITO,La Rioja,1058.0
33,IGLESIA CRISTIANA PENTECOSTAL DE ARGENTINA - FILIAL 80,25 DE MAYO 570,CHILECITO,La Rioja,345.0
34,IGLESIA EVANGELICA PENTECOSTAL ARGENTINA - FILIAL 201,SANTA ROSA 444,CHILECITO,La Rioja,24.0
35,IGLESIA EVANGELICA PENTECOSTAL ARGENTINA - FILIAL 290,MZNA 53 LOTES &quot;G&quot;,CHILECITO,La Rioja,24.0
36,IGLESIA EVANGELICA PENTECOSTAL ARGENTINA - FILIAL 379,TUCUMAN 26 BARRIO MAYO,CHILECITO,La Rioja,24.0
37,IGLESIA PENTECOSTAL UNIDA DE LA ARGENTINA - FILIAL 12,PRESIDENTE ILLIA 632,CHILECITO,La Rioja,401.0
38,LA IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ÚLTIMOS DÍAS - FILIAL 552,AV. PTE. PERON ESQ. TUCUMÁN B° CHILECITO,CHILECITO,La Rioja,607.0
