,ciudad
0,25 DE MAYO
1,9 DE JULIO
2,ABERASTAIN
3,ALABARDON
4,ALBARDON
5,ALBARDON 
6,ALBARDÓN
7,ANGACO
8,BARREAL
9,BARRIO DEL CARMEN
10,B° GÜEMES - CHIMBAS
11,CALINGASTA
12,CAMPO AFUERA
13,CARPINTERÍA
14,CAUCETE
15,CAUCETE 
16,CHIMBAS
17,CHIMBAS 
18,CIUDAD DE SAN JUAN 
19,CONCEPCION
20,CONCEPCION 
21,DEPTO. RIVADAVIA
22,DESAMPARADO
23,DESAMPARADOS
24,DOS ASEQUIAS
25,DPTO. ALBARDÓN
26,DPTO. RIVADAVIA
27,EL ENCÓN
28,EL ZONDA
29,JACHAL
30,LA BEBIDA
31,LAS CASUARINAS
32,LAS CHIMBERAS
33,LAS CHUMBAS
34,LDAD. RAWSON
35,LOS BERROS
36,MARQUESADO
37,MEDANO DE ORO
38,MEDIA AGUA
39,MEDIAGUA
40,OESTE
41,POCITO
42,POCITOS
43,RAWSON
44,RAWSON 
45,RIVADAVIA
46,RIVADAVIA 
47,S. AGUS. VALLE FÉRTIL
48,SAN JOSE DE JACHAL
49,SAN JUAN
50,SAN JUAN 
51,SAN MARTIN
52,SANTA LUCIA
53,SANTA LUCIA 
54,SANTA LUCÍA
55,SARMIENTO
56,SUR TRINIDAD
57,TRINIDAD
58,TUPUNGATO
59,TACO RALO 
60,VILLA ABERASTAIN
61,VILLA CHACARILLA
62,VILLA DEL CARRIL 
63,VILLA DOLORES
64,VILLA GUILLERMO RAWSON
65,VILLA KRAUSE
66,VILLA KRAUSE 
67,VILLA MARIANO MORENO
68,VILLA MERCEDES
69,VILLA NICANOR LARAIN
70,VILLA SAFFE
71,VILLA SANTA ANITA 
72,VILLA SANTA ISABEL
73,VILLA SANTA ROSA
74,VILLA URQUIZA
75,ZONDA
