,nombre,direccion,ciudad,provincia,ci
0,CENTRO CIENTIFICO LUZ EN EL ESPACIO CULTO ESPIRITISTA - FILIAL 2,JUAN JOSE PASO 102 LAS CASUARINAS,25 DE MAYO,San Juan,1133.0
1,IGLESIA EVANGELICA ASAMBLEA DE DIOS EN SAN JUAN - FILIAL 37,ANTONIO TORRES CASA 7 BARRIO A TORRES CATASTRO 1420075692,25 DE MAYO,San Juan,597.0
2,IGLESIA EVANGELICA ASAMBLEA DE DIOS EN SAN JUAN - FILIAL 23,TOMAS BATES Y RICARDO OZAN N° 114 BARRIO 9 DE JULIO,9 DE JULIO,San Juan,597.0
3,IGLESIA EVANGELICA ASAMBLEA DE DIOS EN SAN JUAN - FILIAL 42,DIAGONAL SAN MARTIN S/N° NOMENC. CATASTRAL 0932/770200,9 DE JULIO,San Juan,597.0
4,DELEGACION ARGENTINA CENTRAL DE LA IGLESIA ADVENTISTA DEL 7º DIA - FILIAL 52,MAURIN S/N°,ABERASTAIN,San Juan,5.0
5,IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ULTIMOS DIAS - FILIAL 3,NACIONAL 1556,ALABARDON,San Juan,607.0
6,CONVENCION EVANGELICA BAUTISTA ARGENTINA - FILIAL 709,TUCUMAN 1009,ALBARDON,San Juan,672.0
7,CONVENCION EVANGELICA BAUTISTA ARGENTINA - FILIAL 883,NACIONAL 650,ALBARDON,San Juan,672.0
8,IGLESIA EVANGELICA ASAMBLEA DE DIOS EN SAN JUAN - FILIAL 3,JUJUY 118 DISTRITO LAS LOMITAS,ALBARDON,San Juan,597.0
9,IGLESIA MISION CRISTIANA EVANGELICA - FILIAL 5,CALLE DEL MEDIO LOTE 11 MANZANA 8 CAMPO AFUERA DEPTO. A,ALBARDON,San Juan,2585.0
10,UNION DE LAS ASAMBLEAS DE DIOS - FILIAL 578,LOZANO 1030 NORTE,ALBARDON,San Juan,14.0
11,UNION DE LAS ASAMBLEAS DE DIOS - FILIAL 876,RUTA 40 LOTE 17 MANZANA 1,ALBARDON,San Juan,14.0
12,DELEGACION ARGENTINA CENTRAL DE LA IGLESIA ADVENTISTA DEL 7º DIA - FILIAL 234,FORTIN LAS TAPIAS S/N° NOMENC. CATASTRAL 10-2727-91,ALBARDON ,San Juan,5.0
13,FEDERACION ASAMBLEA CRISTIANA - FILIAL 389,Lozano Nº 1680,ALBARDÓN,San Juan,64.0
14,IGLESIA EVANGELICA ASAMBLEA DE DIOS EN SAN JUAN - FILIAL 24,RAWSON S/N° ENTRE SARMIENTO Y LAPRIDA CATASTRO 1160/731/260,ANGACO,San Juan,597.0
15,ASOCIACION DE LOS TESTIGOS DE JEHOVA ,Callejón Hinojosa s/n° y Tucumán,Albardón,San Juan,1611.0
16,ASOCIACION DE LOS TESTIGOS DE JEHOVA - FILIAL 1147,AVDA. JULIO A ROCA S/N°,BARREAL,San Juan,1611.0
17,"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.)",San Lorenzo 1582,Barrio del Carmen,San Juan,4032.0
18,"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) ",Hipolito Irigoyen 1359,B° Güemes - Chimbas,San Juan,4032.0
19,IGLESIA EVANGELICA ASAMBLEA DE DIOS EN SAN JUAN - FILIAL 16,RUTA 406 S/N° NOMENC. CATASTRAL 130410,CALINGASTA,San Juan,597.0
20,DELEGACION ARGENTINA CENTRAL DE LA IGLESIA ADVENTISTA DEL 7º DIA - FILIAL 180,ITALIA 2150,CAMPO AFUERA,San Juan,5.0
21,FEDERACION ASAMBLEA CRISTIANA - FILIAL 390,"Mendoza S/Nº; Lote 5, pl. 05/2.806-980",CARPINTERÍA,San Juan,64.0
22,ASOCIACION ESCUELA CIENTIFICA BASILIO - CULTO A DIOS- CONFESION RELIG. D L. DISCIPULOS DE JESUS - FILIAL 229,JUAN JOSE BUSTOS 1458,CAUCETE,San Juan,658.0
23,ASOCIACION ESCUELA CIENTIFICA BASILIO - CULTO A DIOS- CONFESION RELIG. D L. DISCIPULOS DE JESUS - FILIAL 237,E. VILLANUEVA 270,CAUCETE,San Juan,658.0
24,ASOCIACION IGLESIA EVANGELICA PENTECOSTAL REDIL DE CRISTO - FILIAL 16,CORONEL DUPUY 63,CAUCETE,San Juan,1531.0
25,CENTRO CIENTIFICO LUZ EN EL ESPACIO CULTO ESPIRITISTA - FILIAL 1,JUAN JUFRE 135,CAUCETE,San Juan,1133.0
26,CONVENCION EVANGELICA BAUTISTA ARGENTINA - FILIAL 229,GODOY CRUZ 580,CAUCETE,San Juan,672.0
27,CONVENCION EVANGELICA BAUTISTA ARGENTINA - FILIAL 413,RASTRADOR CALIBAR S/N,CAUCETE,San Juan,672.0
28,CONVENCION EVANGELICA BAUTISTA ARGENTINA - FILIAL 414,JUSTO CASTRO S/N,CAUCETE,San Juan,672.0
29,CONVENCION EVANGELICA BAUTISTA ARGENTINA - FILIAL 911,JUAN J. BUSTOS 1070 SUR,CAUCETE,San Juan,672.0
30,DELEGACION ARGENTINA CENTRAL DE LA IGLESIA ADVENTISTA DEL 7º DIA - FILIAL 160,COMANDANTE CABOT 395,CAUCETE,San Juan,5.0
31,DELEGACION ARGENTINA CENTRAL DE LA IGLESIA ADVENTISTA DEL 7º DIA - FILIAL 50,CNL CABOT 395,CAUCETE,San Juan,5.0
