,ciudad,poblacion
0,9 de Julio (Nueve de Julio),3484
1,Barreal (- Villa Pituil),3463
2,Calingasta,2198
3,Caucete,28222
4,Chimbas,87258
5,Las Chacritas,2760
6,Los Berros,3783
7,Rawson (Villa Krause),109424
8,Rivadavia,82582
9,Rodeo,2625
10,San José de Jáchal,10940
11,San Juan,109123
12,Santa Lucía,48087
13,Villa Aberastain (- La Rinconada),15409
14,Villa Barboza (- Villa Nacusi),24240
15,Villa Basilio Nievas,4539
16,Villa Borjas (- La Chimbera),5275
17,Villa Don Bosco (Est. Angaco Sud),2557
18,Villa El Salvador (- Villa Sefair),4472
19,Villa General San Martín ,22046
20,Villa Ibáñez,4421
21,Villa Media Agua,7983
22,Villa San Agustín,4423
23,Villa Santa Rosa,3460
